gvkey,iid,datadate,tic,conm,prccd,fyrc
002403,01,09/18/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.7000,12
002403,01,09/19/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.9300,12
002403,01,09/20/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.4900,12
002403,01,09/21/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.3300,12
002403,01,09/22/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.3600,12
002403,01,09/25/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.1900,12
002403,01,09/26/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.9300,12
002403,01,09/27/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.9500,12
002403,01,09/28/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.0100,12
002403,01,09/29/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.7400,12
002403,01,10/02/2017,BMY,BRISTOL-MYERS SQUIBB CO,64.5600,12
002403,01,10/03/2017,BMY,BRISTOL-MYERS SQUIBB CO,64.2900,12
002403,01,10/04/2017,BMY,BRISTOL-MYERS SQUIBB CO,64.7400,12
002403,01,10/05/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.8000,12
002403,01,10/06/2017,BMY,BRISTOL-MYERS SQUIBB CO,64.8100,12
002403,01,10/09/2017,BMY,BRISTOL-MYERS SQUIBB CO,64.1500,12
002403,01,10/10/2017,BMY,BRISTOL-MYERS SQUIBB CO,65.1300,12
002403,01,10/11/2017,BMY,BRISTOL-MYERS SQUIBB CO,65.1100,12
002403,01,10/12/2017,BMY,BRISTOL-MYERS SQUIBB CO,65.3500,12
002403,01,10/13/2017,BMY,BRISTOL-MYERS SQUIBB CO,65.2900,12
002403,01,10/16/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.6500,12
002403,01,10/17/2017,BMY,BRISTOL-MYERS SQUIBB CO,64.1800,12
002403,01,10/18/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.7000,12
002403,01,10/19/2017,BMY,BRISTOL-MYERS SQUIBB CO,64.6700,12
002403,01,10/20/2017,BMY,BRISTOL-MYERS SQUIBB CO,64.4200,12
002403,01,10/23/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.7500,12
002403,01,10/24/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.6500,12
002403,01,10/25/2017,BMY,BRISTOL-MYERS SQUIBB CO,64.0000,12
002403,01,10/26/2017,BMY,BRISTOL-MYERS SQUIBB CO,60.9500,12
002403,01,10/27/2017,BMY,BRISTOL-MYERS SQUIBB CO,59.9400,12
002403,01,10/30/2017,BMY,BRISTOL-MYERS SQUIBB CO,60.8400,12
002403,01,10/31/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.6600,12
002403,01,11/01/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.1600,12
