gvkey,permno,adate,qdate,public_date,debt_capital,TICKER
007257,22752,12/31/2018,03/31/2019,07/31/2019,0.483,MRK
007257,22752,12/31/2018,06/30/2019,08/31/2019,0.503,MRK
007257,22752,12/31/2018,06/30/2019,09/30/2019,0.503,MRK
007257,22752,12/31/2018,06/30/2019,10/31/2019,0.503,MRK
007257,22752,12/31/2018,09/30/2019,11/30/2019,0.523,MRK
007257,22752,12/31/2018,09/30/2019,12/31/2019,0.523,MRK
007257,22752,12/31/2018,09/30/2019,01/31/2020,0.523,MRK
007257,22752,12/31/2019,12/31/2019,02/29/2020,0.545,MRK
007257,22752,12/31/2019,12/31/2019,03/31/2020,0.545,MRK
007257,22752,12/31/2019,12/31/2019,04/30/2020,0.545,MRK
007257,22752,12/31/2019,03/31/2020,05/31/2020,0.537,MRK
007257,22752,12/31/2019,03/31/2020,06/30/2020,0.537,MRK
007257,22752,12/31/2019,03/31/2020,07/31/2020,0.537,MRK
007257,22752,12/31/2019,06/30/2020,08/31/2020,0.544,MRK
007257,22752,12/31/2019,06/30/2020,09/30/2020,0.544,MRK
007257,22752,12/31/2019,06/30/2020,10/31/2020,0.544,MRK
007257,22752,12/31/2019,09/30/2020,11/30/2020,0.543,MRK
007257,22752,12/31/2019,09/30/2020,12/31/2020,0.543,MRK
007257,22752,12/31/2019,09/30/2020,01/31/2021,0.543,MRK
007257,22752,12/31/2020,12/31/2020,02/28/2021,0.600,MRK
007257,22752,12/31/2020,12/31/2020,03/31/2021,0.600,MRK
007257,22752,12/31/2020,12/31/2020,04/30/2021,0.600,MRK
007257,22752,12/31/2020,03/31/2021,05/31/2021,0.562,MRK
007257,22752,12/31/2020,03/31/2021,06/30/2021,0.562,MRK
007257,22752,12/31/2020,03/31/2021,07/31/2021,0.562,MRK
007257,22752,12/31/2020,06/30/2021,08/31/2021,0.543,MRK
007257,22752,12/31/2020,06/30/2021,09/30/2021,0.543,MRK
007257,22752,12/31/2020,06/30/2021,10/31/2021,0.543,MRK
007257,22752,12/31/2020,09/30/2021,11/30/2021,0.524,MRK
007257,22752,12/31/2020,09/30/2021,12/31/2021,0.524,MRK
